INFO 2025-05-01 10:24:58,915 autoreload 677 Watching for file changes with StatReloader
INFO 2025-05-01 10:30:23,364 basehttp 187 "GET /index/get_banner/ HTTP/1.1" 200 457
INFO 2025-05-01 10:30:23,368 basehttp 187 "GET /index/get_index_data/ HTTP/1.1" 200 553
INFO 2025-05-01 10:30:23,371 basehttp 187 "GET /index/get_banner/ HTTP/1.1" 200 457
INFO 2025-05-01 10:30:23,375 basehttp 187 "GET /index/get_index_data/ HTTP/1.1" 200 553
INFO 2025-05-01 10:30:23,432 basehttp 187 "GET /media/banner/banner1.jpg HTTP/1.1" 304 0
INFO 2025-05-01 10:30:23,433 basehttp 187 "GET /media/banner/banner2.jpg HTTP/1.1" 304 0
INFO 2025-05-01 10:30:23,434 basehttp 187 "GET /media/banner/banner3.jpg HTTP/1.1" 304 0
INFO 2025-05-01 10:30:25,614 basehttp 187 "GET /index/get_tuwen_desc/?search=1 HTTP/1.1" 200 623
INFO 2025-05-01 10:30:25,625 basehttp 187 "GET /media/tuwen/%E5%B1%8F%E5%B9%95%E6%88%AA%E5%9B%BE_2025-04-27_202516.png HTTP/1.1" 304 0
INFO 2025-05-01 10:30:29,012 basehttp 187 "GET /index/get_banner/ HTTP/1.1" 200 457
INFO 2025-05-01 10:30:29,018 basehttp 187 "GET /index/get_index_data/ HTTP/1.1" 200 553
INFO 2025-05-01 10:30:30,234 basehttp 187 "GET /index/get_tuwen_desc/?search=2 HTTP/1.1" 200 906
INFO 2025-05-01 10:30:30,246 basehttp 187 "GET /media/tuwen/%E5%B1%8F%E5%B9%95%E6%88%AA%E5%9B%BE_2025-04-25_215637.png HTTP/1.1" 304 0
INFO 2025-05-01 10:31:25,263 basehttp 187 "GET /index/get_banner/ HTTP/1.1" 200 457
INFO 2025-05-01 10:31:25,279 basehttp 187 "GET /index/get_index_data/ HTTP/1.1" 200 553
INFO 2025-05-01 10:32:09,845 basehttp 187 "GET /index/get_banner/ HTTP/1.1" 200 457
INFO 2025-05-01 10:32:09,850 basehttp 187 "GET /index/get_index_data/ HTTP/1.1" 200 553
INFO 2025-05-01 10:32:09,854 basehttp 187 "GET /index/get_banner/ HTTP/1.1" 200 457
INFO 2025-05-01 10:32:09,858 basehttp 187 "GET /index/get_index_data/ HTTP/1.1" 200 553
INFO 2025-05-01 10:32:12,018 basehttp 187 "GET /index/get_tuwen_desc/?search=1 HTTP/1.1" 200 623
INFO 2025-05-01 10:32:16,676 basehttp 187 "GET /index/get_banner/ HTTP/1.1" 200 457
INFO 2025-05-01 10:32:16,680 basehttp 187 "GET /index/get_index_data/ HTTP/1.1" 200 553
INFO 2025-05-01 10:34:07,661 basehttp 187 "GET /index/get_tuwen_desc/?search=1 HTTP/1.1" 200 623
INFO 2025-05-01 10:34:11,233 basehttp 187 "GET /index/get_banner/ HTTP/1.1" 200 457
INFO 2025-05-01 10:34:11,236 basehttp 187 "GET /index/get_index_data/ HTTP/1.1" 200 553
INFO 2025-05-01 10:34:12,667 basehttp 187 "GET /index/get_tuwen_desc/?search=2 HTTP/1.1" 200 906
INFO 2025-05-01 10:34:16,263 basehttp 187 "GET /index/get_banner/ HTTP/1.1" 200 457
INFO 2025-05-01 10:34:16,266 basehttp 187 "GET /index/get_index_data/ HTTP/1.1" 200 553
INFO 2025-05-01 10:34:17,669 basehttp 187 "GET /index/get_tuwen_desc/?search=5 HTTP/1.1" 200 400
INFO 2025-05-01 10:34:17,678 basehttp 187 "GET /media/tuwen/deering.jpg HTTP/1.1" 304 0
INFO 2025-05-01 10:34:19,940 basehttp 187 "GET /index/get_banner/ HTTP/1.1" 200 457
INFO 2025-05-01 10:34:19,942 basehttp 187 "GET /index/get_index_data/ HTTP/1.1" 200 553
INFO 2025-05-01 10:34:21,460 basehttp 187 "GET /index/get_tuwen_desc/?search=3 HTTP/1.1" 200 593
INFO 2025-05-01 10:34:21,472 basehttp 187 "GET /media/tuwen/%E5%B1%8F%E5%B9%95%E6%88%AA%E5%9B%BE_2025-04-25_215826.png HTTP/1.1" 304 0
INFO 2025-05-01 10:34:24,105 basehttp 187 "GET /index/get_banner/ HTTP/1.1" 200 457
INFO 2025-05-01 10:34:24,109 basehttp 187 "GET /index/get_index_data/ HTTP/1.1" 200 553
INFO 2025-05-01 10:34:26,583 basehttp 187 "GET /index/get_tuwen_desc/?search=4 HTTP/1.1" 200 947
INFO 2025-05-01 10:34:26,594 basehttp 187 "GET /media/tuwen/%E5%B1%8F%E5%B9%95%E6%88%AA%E5%9B%BE_2025-04-25_215741.png HTTP/1.1" 304 0
INFO 2025-05-01 10:34:34,933 basehttp 187 "GET /index/get_banner/ HTTP/1.1" 200 457
INFO 2025-05-01 10:34:34,938 basehttp 187 "GET /index/get_index_data/ HTTP/1.1" 200 553
INFO 2025-05-01 10:37:50,748 autoreload 677 Watching for file changes with StatReloader
